country_uid,sample_size,data_density_tier,missing_signals,fallback_used,regional_baseline_used,elo_contribution,squad_contribution,form_contribution,attack_contribution,historical_weight,recent_weight,squad_weight,confidence_adjustment,overall_rank_score,rank
C_IQ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,76
C_LY,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,77
C_KE,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,78
C_NA,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,79
C_TZ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,80
C_HN,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,81
C_TN,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,82
C_LU,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,83
C_BG,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,84
C_BY,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,85
C_AM,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,86
C_GE,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,87
C_AL,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,88
C_MK,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,89
C_ME,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,90
C_BA,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,91
C_IS,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,92
C_FI,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,93
C_GR,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,94
C_SI,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,95
C_SK,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,96
C_RO,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,97
C_IE,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,98
C_TR,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,99
C_HU,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,100
C_RS,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,101
C_AT,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,102
C_CH,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,103
C_HR,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,104
C_XK,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,105
C_EE,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,106
C_DZ,0.0,SPARSE,4,True,True,0.12201196921971177,0.10519000785926347,0.11930331538206547,0.006937827411100937,0.40348342308967267,0.5965165769103273,0.2,,0.0,107
